*i,month,r,value
hydD,JUN,p31,0.857
hydD,JUN,p32,0.738
hydD,JUN,p33,0.932
hydD,JUN,p34,0.893
hydD,JUN,p35,0.925
hydD,JUN,p36,0.902
hydD,JUN,p38,0.832
hydD,JUN,p39,0.888
hydD,JUN,p4,0.854
hydD,JUN,p40,0.907
hydD,JUN,p41,0.869
hydD,JUN,p42,0.706
hydD,JUN,p43,0.751
hydD,JUN,p44,0.737
hydD,JUN,p45,0.862
hydD,JUN,p46,0.693
hydD,JUN,p48,0.838
hydD,JUN,p5,0.463
hydD,JUN,p50,0.65
hydD,JUN,p51,0.678
hydD,JUN,p52,0.939
hydD,JUN,p53,0.711
hydD,JUN,p54,0.84
hydD,JUN,p55,0.546
hydD,JUN,p56,0.552
hydD,JUN,p57,0.409
hydD,JUN,p58,0.425
hydD,JUN,p59,0.897
hydD,JUN,p6,0.317
hydD,JUN,p61,0.892
hydD,JUN,p63,0.478
hydD,JUN,p64,0.522
hydD,JUN,p65,0.764
hydD,JUN,p66,0.399
hydD,JUN,p67,0.455
hydD,JUN,p68,0.725
hydD,JUN,p69,0.759
hydD,JUN,p7,0.943
hydD,JUN,p70,0.725
hydD,JUN,p71,0.665
hydD,JUN,p72,0.793
hydD,JUN,p73,0.414
hydD,JUN,p74,0.793
hydD,JUN,p75,0.746
hydD,JUN,p76,0.713
hydD,JUN,p77,0.732
hydD,JUN,p78,0.645
hydD,JUN,p8,0.624
hydD,JUN,p80,0.612
hydD,JUN,p81,0.667
hydD,JUN,p82,0.428
hydD,JUN,p83,0.507
hydD,JUN,p84,0.455
hydD,JUN,p85,0.497
hydD,JUN,p86,0.315
hydD,JUN,p87,0.36
hydD,JUN,p88,0.357
hydD,JUN,p89,0.379
hydD,JUN,p9,0.615
hydD,JUN,p90,0.479
hydD,JUN,p91,0.558
hydD,JUN,p92,0.51
hydD,JUN,p93,0.344
hydD,JUN,p94,0.552
hydD,JUN,p95,0.579
hydD,JUN,p96,0.57
hydD,JUN,p97,0.589
hydD,JUN,p98,0.466
hydD,JUN,p99,0.453
hydD,MAR,p1,0.822
hydD,MAR,p10,0.866
hydD,MAR,p100,0.844
hydD,MAR,p101,0.747
hydD,MAR,p103,0.911
hydD,MAR,p104,0.923
hydD,MAR,p105,0.813
hydD,MAR,p106,0.811
hydD,MAR,p107,0.834
hydD,MAR,p108,0.767
hydD,MAR,p109,0.794
hydD,MAR,p110,0.839
hydD,MAR,p111,0.819
hydD,MAR,p112,0.85
hydD,MAR,p113,0.837
hydD,MAR,p114,0.832
hydD,MAR,p115,0.85
hydD,MAR,p116,0.856
hydD,MAR,p117,0.864
hydD,MAR,p118,0.857
hydD,MAR,p119,0.856
hydD,MAR,p12,0.847
hydD,MAR,p121,0.849
hydD,MAR,p122,0.86
hydD,MAR,p123,0.856
hydD,MAR,p126,0.866
hydD,MAR,p127,0.878
hydD,MAR,p129,0.912
hydD,MAR,p130,0.916
hydD,MAR,p131,0.9
hydD,MAR,p132,0.88
hydD,MAR,p134,0.869
hydD,MAR,p14,0.911
hydD,MAR,p15,0.852
hydD,MAR,p16,0.734
hydD,MAR,p17,0.852
hydD,MAR,p18,0.748
hydD,MAR,p19,0.759
hydD,MAR,p2,0.854
hydD,MAR,p20,0.742
hydD,MAR,p21,0.669
hydD,MAR,p24,0.89
hydD,MAR,p25,0.855
hydD,MAR,p26,0.874
hydD,MAR,p27,0.893
hydD,MAR,p28,0.821
