name,MW,year_online,trtype,certain,from_lon,from_lat,to_lon,to_lat
z134:p81~~p108,100000,0,VSC,0,-89.78738098,39.32261591,-87.22105398,37.51815832
z134:p82~~p83,100000,0,VSC,0,-89.50352109,40.41209835,-88.31387435,39.72790165
z134:p83~~p105,100000,0,VSC,0,-88.31387435,39.72790165,-86.25403168,40.72629479
z134:p83~~p107,100000,0,VSC,0,-88.31387435,39.72790165,-86.32272656,38.88485934
z134:p84~~p85,100000,0,VSC,0,-91.29496646,37.06420364,-92.02206131,34.67614755
z134:p84~~p92,100000,0,VSC,0,-91.29496646,37.06420364,-86.34952583,35.85850386
z134:p85~~p86,100000,0,VSC,0,-92.02206131,34.67614755,-91.93563781,32.55385405
z134:p85~~p87,100000,0,VSC,0,-92.02206131,34.67614755,-89.93377714,32.30945125
z134:p85~~p92,100000,0,VSC,0,-92.02206131,34.67614755,-86.34952583,35.85850386
z134:p86~~p87,100000,0,VSC,0,-91.93563781,32.55385405,-89.93377714,32.30945125
z134:p87~~p88,100000,0,VSC,0,-89.93377714,32.30945125,-88.91826681,33.91413099
z134:p87~~p89,100000,0,VSC,0,-89.93377714,32.30945125,-87.31696514,33.63340907
z134:p87~~p90,100000,0,VSC,0,-89.93377714,32.30945125,-86.47635269,32.14389389
z134:p87~~p92,100000,0,VSC,0,-89.93377714,32.30945125,-86.34952583,35.85850386
z134:p88~~p89,100000,0,VSC,0,-88.91826681,33.91413099,-87.31696514,33.63340907
z134:p88~~p92,100000,0,VSC,0,-88.91826681,33.91413099,-86.34952583,35.85850386
z134:p89~~p90,100000,0,VSC,0,-87.31696514,33.63340907,-86.47635269,32.14389389
z134:p89~~p92,100000,0,VSC,0,-87.31696514,33.63340907,-86.34952583,35.85850386
z134:p89~~p94,100000,0,VSC,0,-87.31696514,33.63340907,-83.43553366,32.63997261
z134:p90~~p91,100000,0,VSC,0,-86.47635269,32.14389389,-86.08395491,30.58478781
z134:p90~~p94,100000,0,VSC,0,-86.47635269,32.14389389,-83.43553366,32.63997261
z134:p91~~p94,100000,0,VSC,0,-86.08395491,30.58478781,-83.43553366,32.63997261
z134:p91~~p101,100000,0,VSC,0,-86.08395491,30.58478781,-82.16153403,28.61064555
z134:p92~~p93,100000,0,VSC,0,-86.34952583,35.85850386,-86.89318135,36.88838161
z134:p92~~p94,100000,0,VSC,0,-86.34952583,35.85850386,-83.43553366,32.63997261
z134:p92~~p97,100000,0,VSC,0,-86.34952583,35.85850386,-81.4566305,35.69441978
z134:p92~~p108,100000,0,VSC,0,-86.34952583,35.85850386,-87.22105398,37.51815832
z134:p92~~p109,100000,0,VSC,0,-86.34952583,35.85850386,-84.52641444,37.82027791
z134:p92~~p118,100000,0,VSC,0,-86.34952583,35.85850386,-80.87858774,37.06974171
z134:p93~~p108,100000,0,VSC,0,-86.89318135,36.88838161,-87.22105398,37.51815832
z134:p93~~p109,100000,0,VSC,0,-86.89318135,36.88838161,-84.52641444,37.82027791
z134:p94~~p95,100000,0,VSC,0,-83.43553366,32.63997261,-82.00419875,34.70145271
z134:p94~~p96,100000,0,VSC,0,-83.43553366,32.63997261,-80.50921523,33.62909084
z134:p94~~p97,100000,0,VSC,0,-83.43553366,32.63997261,-81.4566305,35.69441978
z134:p94~~p101,100000,0,VSC,0,-83.43553366,32.63997261,-82.16153403,28.61064555
z134:p95~~p96,100000,0,VSC,0,-82.00419875,34.70145271,-80.50921523,33.62909084
z134:p95~~p97,100000,0,VSC,0,-82.00419875,34.70145271,-81.4566305,35.69441978
z134:p95~~p98,100000,0,VSC,0,-82.00419875,34.70145271,-77.99872674,35.44202442
z134:p96~~p98,100000,0,VSC,0,-80.50921523,33.62909084,-77.99872674,35.44202442
z134:p97~~p98,100000,0,VSC,0,-81.4566305,35.69441978,-77.99872674,35.44202442
z134:p97~~p118,100000,0,VSC,0,-81.4566305,35.69441978,-80.87858774,37.06974171
z134:p98~~p99,100000,0,VSC,0,-77.99872674,35.44202442,-77.99964991,37.62459409
z134:p99~~p100,100000,0,VSC,0,-77.99964991,37.62459409,-78.27316353,38.77897424
z134:p99~~p116,100000,0,VSC,0,-77.99964991,37.62459409,-80.17476357,38.90026172
z134:p99~~p118,100000,0,VSC,0,-77.99964991,37.62459409,-80.87858774,37.06974171
z134:p99~~p121,100000,0,VSC,0,-77.99964991,37.62459409,-77.50609328,39.49881674
z134:p99~~p123,100000,0,VSC,0,-77.99964991,37.62459409,-76.35304548,38.89366177
z134:p100~~p116,100000,0,VSC,0,-78.27316353,38.77897424,-80.17476357,38.90026172
z134:p101~~p102,100000,0,VSC,0,-82.16153403,28.61064555,-80.53764432,26.73510998
z134:p103~~p104,100000,0,VSC,0,-84.61125526,43.8762499,-85.90412288,42.06614027
z134:p103~~p105,100000,0,VSC,0,-84.61125526,43.8762499,-86.25403168,40.72629479
z134:p103~~p111,100000,0,VSC,0,-84.61125526,43.8762499,-81.86700237,41.30455522
z134:p104~~p105,100000,0,VSC,0,-85.90412288,42.06614027,-86.25403168,40.72629479
z134:p105~~p106,100000,0,VSC,0,-86.25403168,40.72629479,-86.095367,39.92694431
z134:p105~~p107,100000,0,VSC,0,-86.25403168,40.72629479,-86.32272656,38.88485934
z134:p105~~p112,100000,0,VSC,0,-86.25403168,40.72629479,-82.80095864,40.13748215
z134:p106~~p107,100000,0,VSC,0,-86.095367,39.92694431,-86.32272656,38.88485934
z134:p107~~p108,100000,0,VSC,0,-86.32272656,38.88485934,-87.22105398,37.51815832
z134:p107~~p109,100000,0,VSC,0,-86.32272656,38.88485934,-84.52641444,37.82027791
z134:p107~~p112,100000,0,VSC,0,-86.32272656,38.88485934,-82.80095864,40.13748215
z134:p107~~p114,100000,0,VSC,0,-86.32272656,38.88485934,-84.25213261,39.20095459
z134:p108~~p109,100000,0,VSC,0,-87.22105398,37.51815832,-84.52641444,37.82027791
z134:p109~~p110,100000,0,VSC,0,-84.52641444,37.82027791,-82.88400715,37.58371161
z134:p109~~p112,100000,0,VSC,0,-84.52641444,37.82027791,-82.80095864,40.13748215
z134:p109~~p114,100000,0,VSC,0,-84.52641444,37.82027791,-84.25213261,39.20095459
z134:p109~~p118,100000,0,VSC,0,-84.52641444,37.82027791,-80.87858774,37.06974171
z134:p110~~p112,100000,0,VSC,0,-82.88400715,37.58371161,-82.80095864,40.13748215
z134:p110~~p117,100000,0,VSC,0,-82.88400715,37.58371161,-81.70096999,38.00344574
z134:p110~~p118,100000,0,VSC,0,-82.88400715,37.58371161,-80.87858774,37.06974171
z134:p111~~p112,100000,0,VSC,0,-81.86700237,41.30455522,-82.80095864,40.13748215
z134:p111~~p115,100000,0,VSC,0,-81.86700237,41.30455522,-79.86932478,40.38084573
z134:p111~~p116,100000,0,VSC,0,-81.86700237,41.30455522,-80.17476357,38.90026172
z134:p111~~p122,100000,0,VSC,0,-81.86700237,41.30455522,-76.28677225,40.53840825
z134:p112~~p113,100000,0,VSC,0,-82.80095864,40.13748215,-83.93873496,39.75565377
z134:p112~~p114,100000,0,VSC,0,-82.80095864,40.13748215,-84.25213261,39.20095459
z134:p112~~p115,100000,0,VSC,0,-82.80095864,40.13748215,-79.86932478,40.38084573
z134:p112~~p116,100000,0,VSC,0,-82.80095864,40.13748215,-80.17476357,38.90026172
z134:p112~~p117,100000,0,VSC,0,-82.80095864,40.13748215,-81.70096999,38.00344574
z134:p113~~p114,100000,0,VSC,0,-83.93873496,39.75565377,-84.25213261,39.20095459
z134:p115~~p116,100000,0,VSC,0,-79.86932478,40.38084573,-80.17476357,38.90026172
z134:p115~~p122,100000,0,VSC,0,-79.86932478,40.38084573,-76.28677225,40.53840825
z134:p116~~p117,100000,0,VSC,0,-80.17476357,38.90026172,-81.70096999,38.00344574
z134:p116~~p118,100000,0,VSC,0,-80.17476357,38.90026172,-80.87858774,37.06974171
z134:p116~~p120,100000,0,VSC,0,-80.17476357,38.90026172,-77.86296392,39.92662364
z134:p116~~p121,100000,0,VSC,0,-80.17476357,38.90026172,-77.50609328,39.49881674
z134:p117~~p118,100000,0,VSC,0,-81.70096999,38.00344574,-80.87858774,37.06974171
z134:p119~~p122,100000,0,VSC,0,-77.99562482,41.33663796,-76.28677225,40.53840825
z134:p120~~p121,100000,0,VSC,0,-77.86296392,39.92662364,-77.50609328,39.49881674
